"objectid","stop_uid","stop_id","stop_code","stop_name","stop_lat","stop_lon","stop_agncy","wheelchair","intersec","stop_place","parent_sta","lat","lng"
"114","MTS_10187","10187","10187","Imperial Av & 33rd St","32.70666939","-117.12271486","MTS","0.0","N-E/B","","","32.706664624694554","-117.12270296387403"
"115","MTS_10188","10188","10188","Adams Av & 33rd St","32.76329493","-117.12298956","MTS","2.0","N-E/B","","","32.76329015895776","-117.1229776652845"
"116","MTS_10189","10189","10189","El Cajon Bl & 33rd St","32.75515457","-117.12249906","MTS","1.0","N-E/B","","","32.7551497995474","-117.12248716790486"
"117","MTS_10190","10190","10190","El Cajon Bl & 35th St","32.75515393","-117.11752246","MTS","0.0","F-E/B","","","32.755149157718584","-117.11751056894354"
"118","MTS_10191","10191","10191","Aero Dr & West Canyon Av","32.80835573","-117.12313039","MTS","1.0","N-E/B","","","32.80835095803612","-117.12311849518156"
"119","MTS_10194","10194","10194","Camino Del Rio S & Scheidler Wy","32.77667102","-117.12039247","MTS","1.0","N-E/B","","","32.77666625120811","-117.12038057747142"
"120","MTS_10195","10195","10195","National Av & 35th St","32.69594054","-117.11902661","MTS","1.0","N-E/B","","","32.69593577624753","-117.11901471843544"
"121","MTS_10196","10196","10196","El Cajon Bl & 35th St","32.75513002","-117.11818577","MTS","1.0","N-E/B","","","32.75512525421286","-117.11817387896092"
"122","MTS_10197","10197","10197","National Av & 36th St","32.6959479","-117.11719991","MTS","1.0","N-E/B","","","32.695943140329966","-117.117188016409"
"123","MTS_10198","10198","10198","Adams Av & 35th St","32.76325179","-117.11741354","MTS","1.0","N-E/B","","","32.76324702397764","-117.11740164130906"
"124","MTS_10201","10201","10201","El Cajon Bl & 36th St","32.75511258","-117.11558249","MTS","1.0","F-E/B","","","32.75510781314638","-117.11557059323916"
"125","MTS_10203","10203","10203","Imperial Av & 37th St","32.7048041","-117.1147774","MTS","0.0","N-E/B","","","32.704799336513986","-117.11476550876212"
"126","MTS_10204","10204","10204","El Cajon Bl & 37th St","32.75509992","-117.11385942","MTS","1.0","N-E/B","","","32.75509515186354","-117.11384752873316"
"127","MTS_10205","10205","10205","National Av & 38th St","32.69597766","-117.112565","MTS","1.0","N-E/B","","","32.69597290118387","-117.11255310910326"
"128","MTS_10206","10206","10206","Ocean View Bl & 38th St","32.70121027","-117.1126422","MTS","1.0","N-E/B","","","32.70120550881984","-117.112630314003"
"129","MTS_10207","10207","10207","Imperial Av & 38th St","32.70481068","-117.11266118","MTS","1.0","N-E/B","","","32.704805912755255","-117.11264929222716"
"130","MTS_10208","10208","10208","University Av & 38th St","32.74964632","-117.11197481","MTS","1.0","N-E/B","","","32.74964155450156","-117.1119629196348"
"131","MTS_10210","10210","10210","Camino Del Rio S & 3661","32.77785771","-117.11540681","MTS","1.0","M-Street-E/B","","","32.77785293515881","-117.11539490838211"
"132","MTS_10214","10214","10214","National Av & 40th St","32.69601305","-117.1082812","MTS","1.0","N-E/B","","","32.696008289915824","-117.10826931048655"
"133","MTS_10215","10215","10215","Carmel Mountain Rd & Freeport Rd","32.96068595","-117.11100583","MTS","1.0","M-Street-E/B","cmrfre","","32.960681158376644","-117.11099392132222"
"134","MTS_10216","10216","10216","Imperial Av & 40th St","32.70475529","-117.10878242","MTS","2.0","M-Street-E/B","","","32.70475053121345","-117.10877053045107"
"135","MTS_10219","10219","10219","Home Av & Hixson Av","32.72434645","-117.10524706","MTS","1.0","N-E/B","","","32.72434168007847","-117.10523517080374"
"136","MTS_10220","10220","10220","National Av & 41st St","32.69602495","-117.106175","MTS","1.0","N-E/B","","","32.6960201836075","-117.10616310867812"
"137","MTS_10221","10221","10221","Market St & Morrison St","32.71138957","-117.10570654","MTS","1.0","N-E/B","","","32.71138480620878","-117.10569464551216"
"138","MTS_10223","10223","10223","Ocean View Bl & San Miguel Av","32.70048297","-117.10459622","MTS","1.0","N-E/B","","","32.70047820958656","-117.10458432782245"
