,post_id,num_beds,num_baths,price,sqft,houseType,rentPeriod,parking,laundry,pets,smoking,air conditioning,wheelchair accessible,EV charging,furnished,lat,lon,tfidf_words
729,7456169745,2,2,3314.0,1045,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['b7btv4kc', 'sdishwasherenergy', 'entrycustom', 'billsbusiness', 'kitchenbbq']"
730,7456170325,2,2,3314.0,1045,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['3sfkkrqb', 'balconymicrowavemulti', 'west', 'loopfully', 'garagehalf']"
731,7456170924,1,1,2960.0,7,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['tablemicrowavein', 'garagedishwashercontrolled', '6sqactlj', 'dryermulti', 'ceilingsquartz']"
732,7456171613,2,2,3691.0,1169,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['bqw7pjuz', 'courtopen', 'tvsmicrowaveconference', 'tablehalf', 'areaarcade']"
733,7456172829,2,2,3314.0,1045,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['qhooqzpv', 'ceilingsenergy', 'fireplacesdishwasheropen', 'wallbbq', 'makergroup']"
734,7456173193,0,1,1675.0,350,apartment,rent period: yearly,carport,laundry on site,,no smoking,,,EV charging,,,,"['lovely', 'evc', 'mcproperties', 'ulric', 'accommodation']"
735,7456173744,2,2,3314.0,1045,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['5sq3am5q', 'west', 'makerthree', 'fireplacesrefrigerator', 'tablemulti']"
736,7456174628,1,1,2960.0,7,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['mo2yepqd', 'roomhalf', 'west', 'balconyelectric', 'shardwood']"
737,7456176836,1,1,2824.0,620,apartment,,detached garage,w/d in unit,,,,,,,37.8268891,-122.3778055,"['owops2f3', 'areamedia', 'balconydishwashercustom', 'dryerdog', 'entrymulti']"
738,7456182094,1,1,2297.0,600,apartment,,carport,laundry in bldg,cats are OK - purrr,,air conditioning,,,,,,"['gables', '00pm', '00am', 'loma', 'point']"
739,7456183394,1,1,2623.0,-1,apartment,,off-street parking,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,EV charging,,32.76644356734135,-117.15829857207834,"['treats', 'metro', 'q2tu0p', '3yqxhpneig', 'units']"
740,7456186765,1,1,2515.0,-1,,,,,,,,,,,,,"['nobel', 'dr', 'take', 'right', 'court']"
741,7456189244,2,2,3324.0,-1,apartment,,detached garage,w/d in unit,,,,,,,32.764583,-117.196047,"['controls', 'arrive', 'yziajuam', 'handrails', 'fob']"
742,7456190829,3,2,4000.0,-1,apartment,,attached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,,EV charging,,32.95863740703518,-117.19243461306532,"['carmel', 'avino', 'rd', 'sr', 'highlands']"
743,7456198942,2,1.5,2946.0,950,townhouse,rent period: yearly,carport,w/d in unit,cats are OK - purrr,,air conditioning,,,,,,"['multiple', 'my', 'aotxuxdu3nq', 'matterport', 'charcoal']"
744,7456200265,1,1,2895.0,-1,apartment,rent period: monthly,detached garage,w/d in unit,cats are OK - purrr,no smoking,air conditioning,wheelchair accessible,EV charging,,46.3144754,11.0480288,"['strauss', 'fifth', 'youtube', '3534', 'chefs']"
745,7456200272,1,1,2495.0,-1,apartment,,street parking,laundry in bldg,cats are OK - purrr,no smoking,,,,,32.749794,-117.236104,"['citra', 'per', 'stpk6eru', 'availableelevatorpoolwalking', 'fancarpetwood']"
